scenario,controller,path_id,seed_offset,goal_reached,steps_taken,completion_time_s,path_length,path_efficiency,mean_speed,std_speed,smoothness,mean_cont_err,rms_cont_err,max_cont_err,std_cont_err,mean_lag_err,rms_lag_err,max_lag_err,std_lag_err,mean_solve_ms,max_solve_ms,std_solve_ms,solver_fail_count,dyn_body_collisions,static_body_collisions,total_body_collisions,dyn_exclusion_violations,near_miss_count,danger_zone_steps,min_clearance_m
Zigzag,mpc_hard,3,0,0,29,2.9,2.4405,8.195,0.8416,0.1873,1.4598,0.0672,0.142,0.4332,0.1251,0.0008,0.0193,0.036,0.0193,74.61,587.38,143.44,3,0,0,0,2,0,5,0.4468
Zigzag,mpc_hard,3,1,1,327,32.7,13.172,1.5184,0.4028,0.4543,5.7621,0.2507,0.326,0.8544,0.2085,0.01,0.0269,0.2019,0.025,166.74,491.39,144.87,0,0,0,0,11,214,279,0.1865
Zigzag,mpc_hard,3,2,0,110,11.0,10.1232,1.9757,0.9203,0.1049,3.6135,0.2117,0.3548,0.8544,0.2847,-0.0034,0.0325,0.2019,0.0323,45.38,165.43,39.88,1,0,0,0,10,15,49,0.1959
Zigzag,mpc_hard,3,3,0,113,11.3,10.4046,1.9222,0.9208,0.1041,4.3681,0.2151,0.3562,0.8544,0.2839,-0.0062,0.0312,0.2019,0.0306,65.01,585.26,93.55,4,0,0,0,11,19,52,0.1943
Zigzag,mpc_hard,3,4,0,49,4.9,3.9771,5.0288,0.8116,0.1665,1.2116,0.048,0.1198,0.4656,0.1097,0.0002,0.0148,0.0391,0.0148,27.14,169.48,22.03,1,0,0,0,1,0,4,0.4478
Zigzag,mpc_hard,3,5,0,86,8.6,7.7232,2.5896,0.8981,0.1087,1.7218,0.1081,0.2426,0.8417,0.2172,-0.0058,0.0342,0.2019,0.0337,49.36,461.91,61.14,1,0,0,0,7,10,25,0.2003
Zigzag,mpc_hard,3,6,0,110,11.0,10.2431,1.9525,0.9312,0.1134,5.3061,0.264,0.3741,0.8544,0.2651,-0.0022,0.034,0.2018,0.0339,47.98,200.82,40.12,1,0,0,0,11,15,68,0.1959
Zigzag,mpc_hard,3,7,0,110,11.0,10.1232,1.9757,0.9203,0.1049,3.6133,0.2117,0.3548,0.8544,0.2847,-0.0035,0.0325,0.2019,0.0323,47.15,373.0,53.96,2,0,0,0,7,15,49,0.1959
Zigzag,mpc_hard,3,8,0,31,3.1,2.5895,7.7234,0.8353,0.167,0.717,0.0649,0.1219,0.3872,0.1032,0.0013,0.0206,0.0414,0.0205,28.76,101.82,13.38,1,0,0,0,1,0,4,0.5413
Zigzag,mpc_hard,3,9,0,110,11.0,10.1232,1.9757,0.9203,0.1049,3.6135,0.2117,0.3548,0.8544,0.2847,-0.0034,0.0325,0.2019,0.0323,48.03,456.12,57.35,1,0,0,0,10,15,49,0.1959
Sine,mpc_hard,1,0,0,85,8.5,6.8814,2.9107,0.8096,0.1437,1.8075,0.0076,0.0106,0.0324,0.0075,-0.0023,0.0142,0.043,0.014,22.58,126.58,18.2,1,0,0,0,0,0,8,0.4493
Sine,mpc_hard,1,1,0,101,10.1,7.3026,2.7428,0.723,0.2741,3.8964,0.0066,0.0089,0.024,0.006,0.0046,0.0176,0.04,0.017,28.29,461.21,52.05,2,0,0,0,0,13,18,0.2025
Sine,mpc_hard,1,2,1,298,29.8,25.2779,0.7924,0.8483,0.137,9.3287,0.1016,0.2291,0.8889,0.2053,-0.0007,0.016,0.0483,0.016,21.28,102.1,11.12,0,0,0,0,0,33,99,0.2296
Sine,mpc_hard,1,3,0,46,4.6,3.7162,5.3898,0.8079,0.1704,0.8917,0.0044,0.0058,0.0166,0.0037,-0.002,0.0162,0.04,0.0161,42.27,529.65,104.7,3,0,0,0,1,0,6,0.3431
Sine,mpc_hard,1,4,0,182,18.2,15.2027,1.3175,0.8353,0.1422,5.7607,0.0779,0.1791,0.6881,0.1613,-0.002,0.0168,0.0483,0.0166,22.57,243.27,19.35,1,0,0,0,0,13,44,0.234
Sine,mpc_hard,1,5,1,298,29.8,25.1969,0.7949,0.8455,0.136,9.412,0.1033,0.2316,0.8889,0.2073,-0.0011,0.0157,0.0483,0.0157,22.05,350.92,22.86,1,0,0,0,0,31,78,0.2277
Sine,mpc_hard,1,6,1,298,29.8,25.2557,0.7931,0.8475,0.1361,9.0495,0.0991,0.2289,0.8887,0.2063,-0.0003,0.0159,0.0483,0.0159,20.66,106.15,10.85,0,0,0,0,0,31,84,0.2304
Sine,mpc_hard,1,7,0,67,6.7,5.2391,3.8231,0.782,0.1429,1.336,0.0051,0.0064,0.0113,0.0037,-0.0016,0.0129,0.04,0.0128,18.25,174.85,19.4,1,0,0,0,1,0,15,0.381
Sine,mpc_hard,1,8,0,94,9.4,7.3783,2.7146,0.7849,0.1501,2.4228,0.0081,0.0131,0.0706,0.0104,0.0001,0.0149,0.0408,0.0149,22.2,168.46,17.79,1,0,0,0,1,5,12,0.2102
Sine,mpc_hard,1,9,0,79,7.9,6.1047,3.281,0.7727,0.1396,2.1052,0.0246,0.0584,0.2899,0.053,-0.0025,0.0153,0.0451,0.015,28.42,496.64,55.41,2,0,0,0,1,0,16,0.5232
